date,close_price
2021-01-04,345.27398681640625
2021-01-05,347.6520080566406
2021-01-06,349.73046875
2021-01-07,354.92657470703125
2021-01-08,356.9488220214844
2021-01-11,354.5427551269531
2021-01-12,354.6175842285156
2021-01-13,355.5724792480469
2021-01-14,354.32733154296875
2021-01-15,351.74334716796875
2021-01-19,354.50531005859375
2021-01-20,359.4111633300781
2021-01-21,359.7388000488281
2021-01-22,358.4654846191406
2021-01-25,359.87921142578125
2021-01-26,359.3175048828125
2021-01-27,350.53564453125
2021-01-28,353.55029296875
2021-01-29,346.4723815917969
2021-02-01,352.2396240234375
2021-02-02,357.2203674316406
2021-02-03,357.5011901855469
2021-02-04,361.5644836425781
2021-02-05,362.98760986328125
2021-02-08,365.6089782714844
2021-02-09,365.36553955078125
2021-02-10,365.2064208984375
2021-02-11,365.7962646484375
2021-02-12,367.6031799316406
2021-02-16,367.28485107421875
2021-02-17,367.3691711425781
2021-02-18,365.8055725097656
2021-02-19,365.1596374511719
2021-02-22,362.3508605957031
2021-02-23,362.79083251953125
2021-02-24,366.7886657714844
2021-02-25,357.9505615234375
2021-02-26,356.1062316894531
2021-03-01,364.73834228515625
2021-03-02,361.89215087890625
2021-03-03,357.0986022949219
2021-03-04,352.6795654296875
2021-03-05,359.1676940917969
2021-03-08,357.3795471191406
2021-03-09,362.48193359375
2021-03-10,364.73834228515625
2021-03-11,368.43646240234375
2021-03-12,368.9326171875
2021-03-15,371.1328125
2021-03-16,370.66473388671875
2021-03-17,371.9285888671875
2021-03-18,366.5172119140625
2021-03-19,365.8390197753906
2021-03-22,368.7601623535156
2021-03-23,365.8577880859375
2021-03-24,363.9979248046875
2021-03-25,366.0456237792969
2021-03-26,371.94439697265625
2021-03-29,371.756591796875
2021-03-30,370.77032470703125
2021-03-31,372.2731628417969
2021-04-01,376.2933349609375
2021-04-05,381.6943664550781
2021-04-06,381.4689025878906
2021-04-07,381.91046142578125
2021-04-08,383.7232971191406
2021-04-09,386.51300048828125
2021-04-12,386.6539001464844
2021-04-13,387.7997741699219
2021-04-14,386.4754943847656
2021-04-15,390.6271057128906
2021-04-16,391.9327697753906
2021-04-19,390.0071716308594
2021-04-20,387.1517639160156
2021-04-21,390.81500244140625
2021-04-22,387.2456359863281
2021-04-23,391.4443054199219
2021-04-26,392.2615051269531
2021-04-27,392.17694091796875
2021-04-28,392.0642395019531
2021-04-29,394.562744140625
2021-04-30,391.9703674316406
2021-05-03,392.81573486328125
2021-05-04,390.39227294921875
2021-05-05,390.51446533203125
2021-05-06,393.6329345703125
2021-05-07,396.4978332519531
2021-05-10,392.5715026855469
2021-05-11,389.06787109375
2021-05-12,380.8020324707031
2021-05-13,385.3764343261719
2021-05-14,391.2940368652344
2021-05-17,390.2983703613281
2021-05-18,386.9356689453125
2021-05-19,385.9212646484375
2021-05-20,390.0729675292969
2021-05-21,389.7535705566406
2021-05-24,393.72674560546875
2021-05-25,392.8533020019531
2021-05-26,393.6329345703125
2021-05-27,393.8395690917969
2021-05-28,394.54400634765625
2021-06-01,394.196533203125
2021-06-02,394.81640625
2021-06-03,393.35113525390625
