id, symbol, open_price, close_price, high_price, low_price, volume, date, SMA_10, SMA_50, RSI, MACD, Signal, buy_signal
647, MSFT, 496.47, 492.05, 498.05, 490.98, 19945375, 2025-07-01 00:00:00, 488.69, 450.68, 70.89, 12.44, 12.56053907919142, False
847, NVDA, 156.29, 153.30, 157.20, 151.49, 213143621, 2025-07-01 00:00:00, 150.39, 131.67, 64.85, 6.34, 5.919240088885704, True
747, TSLA, 298.46, 300.71, 305.89, 293.21, 145085665, 2025-07-01 00:00:00, 324.50, 314.01, 38.54, -0.09, 2.9515244883094898, False
648, MSFT, 497.04, 497.41, 500.76, 495.33, 28368991, 2025-06-30 00:00:00, 487.40, 448.19, 76.21, 12.96, 12.590701952572267, False
748, TSLA, 319.90, 317.66, 325.58, 316.60, 76695081, 2025-06-30 00:00:00, 327.35, 312.82, 54.08, 2.09, 3.711562684409236, False
848, NVDA, 158.40, 157.99, 158.66, 155.96, 194580316, 2025-06-30 00:00:00, 149.53, 130.63, 77.35, 6.55, 5.815246418915998, False
749, TSLA, 324.51, 323.63, 329.34, 317.50, 89067049, 2025-06-27 00:00:00, 328.11, 311.30, 61.99, 3.12, 4.116852634556505, False
849, NVDA, 156.04, 157.75, 158.71, 155.26, 263234539, 2025-06-27 00:00:00, 147.93, 129.56, 77.88, 6.25, 5.632053723673049, False
649, MSFT, 497.55, 495.94, 499.30, 493.03, 34539236, 2025-06-27 00:00:00, 485.16, 445.68, 76.66, 12.90, 12.497313621134005, False
750, TSLA, 324.61, 325.78, 331.05, 323.61, 80440907, 2025-06-26 00:00:00, 327.66, 309.91, 66.16, 3.77, 4.3672120425923975, False
650, MSFT, 492.98, 497.45, 498.04, 492.81, 21578853, 2025-06-26 00:00:00, 483.45, 443.47, 80.30, 12.78, 12.396836353191276, False
850, NVDA, 155.98, 155.02, 156.72, 154.00, 198145746, 2025-06-26 00:00:00, 146.65, 128.65, 77.08, 5.80, 5.478352323233251, False
751, TSLA, 342.70, 327.55, 343.00, 320.40, 119845050, 2025-06-25 00:00:00, 327.72, 308.44, 48.70, 4.33, 4.5163816720768795, False
851, NVDA, 149.27, 154.31, 154.45, 149.26, 269146471, 2025-06-25 00:00:00, 145.43, 127.76, 71.38, 5.41, 5.398929073806803, False
651, MSFT, 492.04, 492.27, 494.56, 489.39, 17495099, 2025-06-25 00:00:00, 480.97, 441.28, 79.73, 12.28, 12.301479157584827, False
652, MSFT, 488.95, 490.11, 491.85, 486.80, 22305642, 2025-06-24 00:00:00, 478.83, 439.20, 79.18, 12.00, 12.305781902304508, False
852, NVDA, 145.56, 147.90, 147.96, 145.50, 187566121, 2025-06-24 00:00:00, 144.40, 126.90, 64.36, 4.92, 5.395086281897252, False
752, TSLA, 356.17, 340.47, 356.26, 340.44, 114736245, 2025-06-24 00:00:00, 327.58, 306.94, 48.90, 4.81, 4.562239647834167, True
653, MSFT, 478.21, 486.00, 487.75, 472.51, 24863952, 2025-06-23 00:00:00, 477.09, 437.03, 77.69, 11.69, 12.381605791922818, False
